model,emb_dim,neg_per_pos,mrr,mdr,h@1,h@10
DistMult,128,5,0.9672561287879944,1.0,0.9558543550690147,0.9854831032841505
DistMult,64,5,0.9659262895584106,1.0,0.9552197366333492,0.9841147072822466
DistMult,64,1,0.8939073085784911,1.0,0.863755354593051,0.947187847056957
DistMult,128,1,0.8855777382850646,1.0,0.8555251467555133,0.9364588291289861
TransE,64,5,0.3428382873535156,2.0,0.011760272885927335,0.7819292400444233
TransE,64,1,0.2181014120578766,7.0,0.0030144375694113913,0.5511462795494209
TransE,128,5,0.21713198721408847,8.0,0.0015270506108202443,0.527724892908139
TransE,128,1,0.15252655744552612,30.0,0.0007932730445819451,0.38961605584642234
ComplEx,128,1,0.10512764006853104,109.0,0.06217277486910995,0.1841781691258131
ComplEx,128,5,0.09817451238632202,44.0,0.03912819292400444,0.20648897350468032
ComplEx,64,5,0.07999739050865173,56.0,0.028537997778835474,0.1718626051086784
ComplEx,64,1,0.07894735038280487,125.0,0.039623988576868156,0.14848088211962557
